"response_var","impulse_var","horizon","percentage","dataset","model_name"
"interest_rate","inflation",5,0.265596625978407,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",5,0.732447708609432,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",6,0.00282419673619232,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",6,0.272688256531846,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",6,0.724487546731962,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",7,0.00334432968654708,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",7,0.273643632997447,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",7,0.723012037316007,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",8,0.00357510897061512,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",8,0.273154625960328,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",8,0.723270265069057,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",9,0.00364414832249117,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",9,0.272905648336243,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",9,0.723450203341266,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",10,0.00365211030282633,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",10,0.273060821820126,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",10,0.723287067877048,"macro_panel_USA","VAR2_macro_USA"
